"","Row.names","Genus","name","value","LibraryName","Group"
"113","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660190",8,"HC32_bacterial","HC"
"114","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660191",9,"HC31_bacterial","HC"
"115","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660192",0,"HC30_bacterial","HC"
"116","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660193",0,"HC29_bacterial","HC"
"117","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660194",6,"MS6_bacterial","MS"
"118","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660195",9,"HC28_bacterial","HC"
"119","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660197",4,"HC26_bacterial","HC"
"120","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660198",16,"HC25_bacterial","HC"
"121","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660199",4,"HC24_bacterial","HC"
"122","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660200",0,"HC23_bacterial","HC"
"123","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660201",10,"HC22_bacterial","HC"
"124","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660202",0,"HC21_bacterial","HC"
"125","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660203",0,"HC20_bacterial","HC"
"126","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660204",5,"HC19_bacterial","HC"
"127","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660205",11,"MS5_bacterial","MS"
"128","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660206",4,"HC18_bacterial","HC"
"129","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660207",0,"HC17_bacterial","HC"
"130","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660208",0,"HC16_bacterial","HC"
"131","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660209",0,"HC15_bacterial","HC"
"132","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660210",0,"HC14_bacterial","HC"
"133","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660211",0,"HC13_bacterial","HC"
"134","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660212",5,"HC12_bacterial","HC"
"135","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660213",0,"HC11_bacterial","HC"
"136","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660214",0,"HC10_bacterial","HC"
"137","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660215",0,"HC9_bacterial","HC"
"138","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660217",14,"HC8_bacterial","HC"
"139","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660218",8,"HC7_bacterial","HC"
"140","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660219",0,"HC6_bacterial","HC"
"141","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660220",14,"HC5_bacterial","HC"
"142","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660221",3,"HC4_bacterial","HC"
"143","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660222",10,"HC3_bacterial","HC"
"144","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660223",0,"HC2_bacterial","HC"
"145","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660224",8,"HC1_bacterial","HC"
"146","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660226",0,"MS21_bacterial","MS"
"147","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660227",0,"MS3_bacterial","MS"
"148","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660228",6,"MS20_bacterial","MS"
"149","Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces.NA","Actinomyces","SRR14660229",0,"MS19_bacterial","MS"
